flow,parker_qs,wilcock_qs,gaeuman_qs,river_mile
1500,0.200722,0.02215,0.046881,294.64
2000,0.350774,0.038068,0.080605,294.64
2240,0.453349,0.049097,0.103248,294.64
210,0,0,0,295.06
500,1.16e-4,4.9e-5,1.21e-4,295.06
750,0.002533,4.18e-4,0.00103,295.06
1000,0.008532,0.001082,0.002648,295.06
1250,0.021029,0.002363,0.005619,295.06
1500,0.039647,0.004333,0.009995,295.06
2000,0.092874,0.010206,0.022308,295.06
2240,0.12849,0.014369,0.030627,295.06
210,0,0,0,295.54
500,0,0,1e-6,295.54
750,6.6e-5,3e-5,7.2e-5,295.54
1000,0.001939,3.07e-4,7.57e-4,295.54
1250,0.011721,0.001351,0.003174,295.54
1500,0.032508,0.003637,0.008019,295.54
2000,0.122401,0.01489,0.029568,295.54
2240,0.196079,0.02522,0.04813,295.54
210,0.477822,0.048486,0.093805,295.92
500,0.526303,0.063739,0.117932,295.92
750,0.354097,0.04085,0.07854,295.92
1000,0.166551,0.013227,0.028952,295.92
1250,0.387714,0.047175,0.089965,295.92
1500,0.492662,0.061378,0.115479,295.92
2000,0.906476,0.117989,0.215345,295.92
2240,1.105022,0.148432,0.26728,295.92
